"CONTACT_ID";"AGE";"FAMILYSIZE";"YEAREXPERIENCE";"ANNUALINCOME";"EDUCATIONLEVEL_ID";"NETPRICE_PRO11_AMT";"NETPRICE_PRO12_AMT";"NETPRICE_PRO13_AMT";"NETPRICE_PRO14_AMT";"NETPRICE_PRO15_AMT";"NETPRICE_PRO16_AMT";"NETPRICE_PRO17_AMT";"name"
395;25;4;1;49;1;0;1;0;16;0;0;0;"Lewisham"
396;45;3;19;34;1;0;1;0;15;0;0;0;"Enfield"
397;39;1;15;11;1;0;0;0;10;0;0;0;"Waltham Forest"
398;35;1;9;100;2;0;0;0;27;0;0;0;"Barking and Dagenham"
399;35;4;8;45;2;0;0;0;10;1;0;0;"Hackney"
400;37;4;13;29;2;155;0;0;4;0;1;0;"Barnet"
401;53;2;27;72;2;0;0;0;15;0;1;0;"Camden"
402;50;1;24;22;3;0;0;0;3;1;0;0;"Redbridge"
403;35;3;10;81;2;104;0;0;6;0;1;0;"Croydon"
404;34;1;9;180;3;0;0;0;89;0;0;1;"Lewisham"
405;65;4;39;105;3;0;0;0;24;0;0;0;"Hackney"
406;29;3;5;45;2;0;0;0;1;0;1;0;"Waltham Forest"
407;48;2;23;114;3;0;1;0;38;0;0;0;"Camden"
408;59;4;32;40;2;0;0;0;25;0;1;0;"Waltham Forest"
409;67;1;41;112;1;0;1;0;20;0;0;0;"Westminster"
410;60;1;30;22;3;0;0;0;15;1;1;0;"Camden"
411;38;4;14;130;3;134;0;0;47;0;0;1;"Bexley"
412;42;4;18;81;1;0;0;0;24;0;0;0;"Harrow"
413;46;2;21;193;3;0;0;0;81;0;0;1;"Camden"
414;55;1;28;21;2;0;1;0;5;1;0;0;"Tower Hamlets"
415;56;4;31;25;2;111;0;0;9;0;1;0;"Westminster"
416;257;3;27;63;3;0;0;0;20;0;1;0;"Lewisham"
417;129;1;5;62;1;260;0;0;12;0;1;0;"Lewisham"
418;444;2;18;43;1;163;1;0;7;0;0;0;"Camden"
419;36;2;11;152;1;159;0;0;39;1;0;0;"Waltham Forest"
420;43;3;19;29;1;97;0;0;5;0;1;0;"Barking and Dagenham"
421;40;4;16;83;3;0;0;0;2;0;0;0;"Richmond upon Thames"
422;46;1;20;158;1;0;0;0;24;1;1;0;"Harrow"
423;56;1;30;48;3;0;0;0;22;1;1;0;"Barking and Dagenham"
424;38;1;13;119;2;0;0;1;33;1;1;1;"Croydon"
425;659;1;35;35;3;122;0;0;12;0;1;0;"Waltham Forest"
426;40;1;16;29;2;0;0;0;20;0;1;0;"Hillingdon"
427;53;2;28;41;3;193;0;0;6;0;0;0;"Sutton"
428;30;3;6;18;3;0;0;0;9;0;0;0;"Barnet"
429;31;4;5;50;3;0;0;0;18;0;1;0;"Merton"
430;48;3;24;81;1;0;0;0;7;0;0;0;"Kingston upon Thames"
431;59;1;35;121;1;0;0;0;29;1;0;0;"Tower Hamlets"
432;51;1;25;71;3;198;0;0;14;0;0;0;"Hillingdon"
433;42;3;18;141;3;0;1;1;50;0;1;1;"Brent"
434;38;4;13;80;3;285;0;0;7;0;1;0;"Barnet"
435;57;3;32;84;3;0;1;0;16;0;0;0;"Newham"
436;34;3;9;60;1;0;0;0;23;0;0;0;"Barnet"
437;32;4;7;132;2;412;0;0;11;0;1;1;"Kingston upon Thames"
438;39;1;15;45;1;0;0;0;7;0;1;0;"Harrow"
439;46;1;20;104;1;0;0;0;57;1;1;0;"Harrow"
440;57;4;31;52;1;0;0;0;25;1;0;0;"Kingston upon Thames"
441;39;3;14;43;2;153;0;0;7;0;1;0;"Lambeth"
442;37;4;12;194;3;211;1;1;2;1;1;1;"Barnet"
443;56;2;26;81;3;0;0;0;45;1;0;0;"Tower Hamlets"
444;40;1;16;49;1;0;0;0;18;1;0;0;"Harrow"
445;32;4;8;8;2;0;1;0;7;0;1;0;"Enfield"
446;61;1;37;131;1;0;0;0;29;0;1;0;"Brent"
447;30;1;6;72;1;207;0;0;1;0;0;0;"Merton"
448;50;3;26;190;3;240;0;0;21;0;1;1;"Barnet"
449;29;1;5;44;3;0;0;0;2;0;1;0;"Newham"
450;41;2;17;139;1;0;0;0;80;0;1;0;"Tower Hamlets"
451;55;3;30;29;2;0;1;1;1;0;1;0;"Kingston upon Thames"
452;56;2;31;131;3;0;0;0;12;0;0;1;"Tower Hamlets"
453;28;2;2;93;1;0;0;0;2;0;0;0;"Havering"
454;31;2;5;188;1;455;0;0;45;0;0;0;"Brent"
455;49;3;24;39;2;0;1;0;17;0;1;0;"Hillingdon"
456;47;1;21;125;1;112;1;0;57;0;0;0;"Kensington and Chelsea"
457;42;1;18;22;1;0;0;0;10;0;0;0;"Wandsworth"
458;42;4;17;32;2;0;0;0;0;0;1;0;"Kingston upon Thames"
459;47;2;23;105;1;0;0;0;33;0;0;0;"Waltham Forest"
460;59;1;35;131;1;0;0;0;38;1;1;0;"Hackney"
461;62;2;36;105;1;336;0;0;28;0;0;0;"Richmond upon Thames"
462;53;4;23;45;3;132;1;0;20;0;0;0;"Harrow"
463;47;3;21;60;1;0;0;0;21;1;1;0;"Enfield"
464;53;4;29;20;1;0;0;0;2;0;1;0;"Croydon"
465;42;1;18;115;1;0;0;0;35;1;0;0;"Waltham Forest"
466;53;4;29;69;2;0;0;0;10;0;1;0;"Ealing"
467;44;1;20;130;1;0;0;0;50;1;0;0;"Brent"
468;41;1;16;85;3;0;0;0;40;1;1;0;"Southwark"
469;28;2;3;135;1;0;0;0;33;1;0;0;"Hackney"
470;31;4;7;135;2;0;0;1;38;1;1;1;"Redbridge"
471;58;3;32;12;3;0;0;0;3;0;0;0;"Camden"
472;46;3;20;29;2;0;0;0;5;0;0;0;"Barnet"
473;54;2;30;133;3;0;0;0;26;0;0;1;"Barking and Dagenham"
474;50;2;26;19;1;118;0;0;4;0;1;0;"Sutton"
475;60;4;36;41;1;174;0;0;13;1;1;0;"Havering"
476;47;3;22;40;2;0;0;0;27;0;1;0;"Lewisham"
477;41;1;16;82;3;0;0;0;40;0;1;0;"Lambeth"
478;33;1;9;50;2;0;0;0;24;0;0;0;"Harrow"
479;46;1;22;18;3;0;0;0;9;0;1;0;"Kensington and Chelsea"
480;27;4;2;109;3;0;0;0;18;0;0;0;"Camden"
481;40;4;16;42;2;126;0;0;22;0;0;0;"Barking and Dagenham"
482;48;3;22;78;1;0;0;0;11;0;1;0;"Kingston upon Thames"
483;65;2;41;51;1;0;0;0;11;0;1;0;"Hackney"
484;25;4;0;113;3;0;0;0;23;1;0;0;"Newham"
485;55;4;30;118;2;0;0;0;56;0;1;1;"Croydon"
486;35;4;10;29;3;0;0;0;11;0;1;0;"Barking and Dagenham"
487;43;3;19;34;2;0;0;0;6;0;0;0;"Brent"
488;60;2;34;64;3;236;1;0;17;0;1;0;"Hackney"
489;65;1;39;121;1;0;0;0;20;0;0;0;"Enfield"
490;38;4;12;48;3;0;0;0;2;0;1;0;"Greenwich"
491;41;1;15;80;1;0;0;0;52;0;0;0;"Brent"
492;54;1;28;161;1;0;0;0;29;0;1;0;"Lewisham"
493;49;1;23;94;1;0;0;0;3;0;1;0;"Harrow"
494;66;3;41;15;3;0;0;0;1;0;1;0;"Camden"
495;48;1;23;74;1;0;0;0;12;0;1;0;"Brent"
496;61;3;36;30;2;0;0;0;13;0;0;0;"Hillingdon"
497;53;3;23;44;3;198;0;0;10;1;1;0;"Merton"
498;43;2;18;22;2;0;0;0;3;0;1;0;"Kensington and Chelsea"
499;56;4;32;38;1;166;0;0;13;1;1;0;"Harrow"
500;24;3;0;35;2;0;1;0;1;0;1;0;"Bexley"
501;43;4;17;69;1;0;0;0;29;1;1;0;"Barking and Dagenham"
502;42;1;18;43;1;136;0;0;7;0;0;0;"Harrow"
503;33;1;7;32;3;166;0;0;6;0;1;0;"Redbridge"
504;43;1;17;49;1;0;0;0;28;0;1;0;"Sutton"
505;41;3;14;9;2;0;0;0;10;0;0;0;"Kensington and Chelsea"
506;62;4;38;45;2;0;0;0;13;0;1;0;"Merton"
507;40;3;15;82;1;309;0;0;10;0;0;0;"Tower Hamlets"
508;58;2;34;92;1;103;0;0;28;0;0;0;"Lewisham"
509;39;3;14;39;3;0;0;0;5;0;1;0;"Kensington and Chelsea"
510;65;3;40;81;2;0;0;0;18;0;1;0;"Lewisham"
511;54;1;29;35;2;0;0;0;15;0;1;0;"Kingston upon Thames"
512;58;2;33;61;3;193;0;0;23;0;1;0;"Merton"
513;41;3;16;73;1;0;0;0;30;0;1;0;"Redbridge"
514;32;1;7;112;1;366;0;0;46;0;0;0;"Kingston upon Thames"
515;54;2;29;12;3;0;0;0;2;0;1;0;"Harrow"
516;52;3;26;38;3;0;0;0;9;0;1;0;"Brent"
517;58;2;32;73;2;0;0;0;7;1;1;0;"Harrow"
518;37;1;13;84;2;0;1;0;36;0;0;0;"Brent"
519;39;4;15;78;1;118;0;0;24;0;1;0;"Kingston upon Thames"
520;60;3;35;80;1;0;0;0;5;0;1;0;"Bexley"
521;31;2;5;115;1;101;0;0;13;1;1;0;"Bexley"
522;34;1;8;82;2;251;0;0;27;0;1;0;"Enfield"
523;38;2;14;74;1;0;1;0;0;0;1;0;"Merton"
524;41;3;16;70;3;0;0;0;5;1;0;0;"Waltham Forest"
525;28;3;4;81;1;276;0;0;15;0;1;0;"Hillingdon"
526;58;4;34;149;2;0;0;1;72;1;1;1;"Redbridge"
527;31;2;1;51;3;0;0;0;17,5;0;0;0;"Westminster"
528;30;3;4;39;2;0;0;0;11;0;1;0;"Haringey"
529;53;3;29;98;2;0;0;0;18;0;0;0;"Harrow"
530;58;4;33;45;1;0;0;0;21;1;1;0;"Kensington and Chelsea"
531;59;4;32;49;2;0;0;0;25;0;1;0;"Islington"
532;49;2;25;128;1;0;0;0;4;0;0;0;"Hackney"
533;59;3;34;42;1;0;1;1;15;1;0;0;"Merton"
534;59;1;35;18;3;0;0;0;12;0;1;0;"Camden"
535;51;2;25;31;3;161;0;0;4;1;1;0;"Waltham Forest"
536;35;3;11;58;1;149;0;0;20;1;1;0;"Croydon"
537;33;1;9;48;3;0;0;0;21;1;0;0;"Merton"
538;25;4;1;54;1;0;0;0;16;1;1;0;"Brent"
539;49;2;23;70;2;0;0;0;15;0;0;0;"Barnet"
540;59;1;35;124;1;0;0;0;74;1;0;0;"Camden"
541;46;1;19;84;2;0;0;0;26,7;1;1;0;"Kensington and Chelsea"
542;50;4;25;83;3;188;0;0;36;0;1;0;"Hackney"
543;52;2;28;163;1;116;0;0;4;0;1;0;"Richmond upon Thames"
544;48;3;22;42;2;0;0;0;22;0;0;0;"Bexley"
545;46;2;22;118;1;0;0;1;75;1;1;0;"Newham"
546;26;3;0;132;3;0;0;0;65;1;0;1;"Camden"
547;57;1;32;24;1;0;0;0;13;1;1;0;"Lewisham"
548;60;2;36;22;1;0;1;1;10;1;1;0;"Enfield"
549;54;4;29;58;3;0;0;0;13;0;0;0;"Islington"
550;24;4;0;60;1;0;0;0;16;0;1;0;"Tower Hamlets"
551;26;4;0;15;1;0;0;0;4;1;0;0;"Brent"
552;41;4;17;83;1;0;0;0;26,7;1;1;0;"Enfield"
553;32;2;6;79;3;0;0;0;15;1;1;0;"Kingston upon Thames"
554;61;4;35;41;2;0;1;0;17;0;1;0;"Waltham Forest"
555;29;4;0;134;3;0;0;0;65;0;0;1;"Croydon"
556;61;2;35;80;1;0;0;0;28;0;1;0;"Hackney"
557;38;1;12;52;1;0;0;0;20;0;0;0;"Newham"
558;28;4;4;70;1;0;0;0;26;0;1;0;"Hillingdon"
559;53;2;27;92;1;0;1;0;11;0;0;0;"Richmond upon Thames"
560;27;1;1;43;1;0;0;0;15;0;1;0;"Enfield"
561;25;3;1;21;2;0;0;0;10;0;0;0;"Hackney"
562;33;3;9;23;3;0;0;0;9;1;1;0;"Lewisham"
563;50;4;26;13;1;0;0;0;10;0;1;0;"Westminster"
564;27;4;1;112;3;0;0;0;21;1;0;0;"Barking and Dagenham"
565;27;2;1;138;1;0;0;0;20;0;1;0;"Kensington and Chelsea"
566;52;3;28;11;1;0;1;0;4;0;0;0;"Barking and Dagenham"
567;38;2;13;171;1;0;0;0;78;0;1;0;"Haringey"
568;58;4;34;42;1;0;0;0;15;1;1;0;"Westminster"
569;42;2;17;168;2;0;0;0;79;0;1;1;"Richmond upon Thames"
570;45;4;20;85;2;0;1;0;11;0;1;0;"Enfield"
571;52;3;25;44;2;135;0;0;10;0;1;0;"Lewisham"
572;29;4;3;65;2;244;0;0;18;0;0;0;"Kensington and Chelsea"
573;53;4;29;24;1;0;0;0;2;1;1;0;"Kingston upon Thames"
574;62;1;37;11;1;0;0;0;1;0;1;0;"Barking and Dagenham"
575;51;2;27;38;3;164;0;0;10;0;1;0;"Hackney"
576;36;4;12;10;2;81;0;0;7;0;0;0;"Brent"
577;24;1;0;135;1;0;0;0;15;0;1;0;"Redbridge"
578;29;3;3;148;1;0;0;0;41;0;1;1;"Camden"
579;52;2;26;63;2;0;1;0;15;0;1;0;"Kingston upon Thames"
580;39;1;14;115;3;0;0;0;10;0;1;0;"Hackney"
581;48;1;23;45;1;0;0;0;3;1;1;0;"Tower Hamlets"
582;46;3;21;159;3;315;0;0;19;0;1;1;"Barnet"
583;64;2;40;169;1;122;0;0;21;0;1;0;"Lewisham"
584;55;2;29;112;1;0;0;0;14;0;1;0;"Hillingdon"
585;60;1;36;93;1;0;0;0;43;0;1;0;"Enfield"
586;51;1;25;29;3;140;0;0;3;0;0;0;"Bexley"
587;50;1;23;85;2;0;0;0;26,7;0;1;0;"Croydon"
588;48;4;24;21;1;0;0;0;6;1;1;0;"Hillingdon"
589;53;2;29;144;1;0;0;0;68;0;1;0;"Kingston upon Thames"
590;34;4;10;13;1;95;1;0;10;0;1;0;"Barking and Dagenham"
591;48;1;24;165;1;0;0;0;50;1;0;0;"Camden"
592;55;4;31;9;1;89;0;0;7;0;1;0;"Camden"
593;27;4;3;59;1;90;1;0;0;0;1;0;"Waltham Forest"
594;36;1;11;158;3;0;0;1;51;1;1;1;"Waltham Forest"
595;32;1;6;29;3;0;0;0;19;1;1;0;"Southwark"
596;35;2;9;20;3;0;0;0;14;1;1;0;"Enfield"
597;30;4;3;68;2;0;0;0;20;0;1;0;"Brent"
598;58;4;34;65;1;0;0;0;22;0;1;0;"Harrow"
599;56;2;31;61;2;105;0;0;19;0;0;0;"Barnet"
600;38;4;12;91;2;100;0;0;14;1;0;0;"Hammersmith and Fulham"
601;49;1;25;31;1;0;1;0;10;0;1;0;"Camden"
602;34;4;10;71;2;0;0;0;1;0;0;0;"Bexley"
603;40;4;16;73;1;0;0;0;26,7;1;1;0;"Enfield"
604;64;4;39;172;1;282;0;1;31;1;1;1;"Harrow"
606;44;1;18;55;1;0;0;0;2;0;0;0;"Enfield"
607;46;2;22;69;1;209;0;0;17;0;0;0;"Hillingdon"
608;57;1;33;155;1;0;0;0;74;0;1;0;"Redbridge"
609;54;1;28;94;2;0;0;0;19;0;0;0;"Redbridge"
610;38;2;14;92;1;249;0;0;0;1;1;0;"Barking and Dagenham"
611;27;2;3;125;1;0;0;0;6;0;0;0;"Barnet"
612;39;3;14;74;1;0;0;0;30;0;0;0;"Barnet"
613;44;3;20;72;3;0;0;0;3;0;1;0;"Tower Hamlets"
614;56;1;30;61;3;0;0;0;22;1;1;0;"Westminster"
615;32;2;6;25;1;0;0;0;3;1;0;0;"Kensington and Chelsea"
616;45;2;19;83;2;0;0;0;17;0;1;0;"Barnet"
617;26;3;2;104;1;0;0;0;25;0;0;0;"Waltham Forest"
618;55;3;25;41;3;0;0;0;10;0;1;0;"Camden"
619;52;4;27;58;3;91;0;0;18;0;0;0;"Bexley"
620;39;1;13;93;3;0;0;0;15;1;0;0;"Kingston upon Thames"
621;24;2;0;39;2;0;0;0;17;0;0;0;"Brent"
622;47;2;23;148;1;0;0;1;75;1;1;0;"Westminster"
623;47;4;22;53;3;98;1;1;19;1;0;0;"Greenwich"
624;48;2;24;71;1;145;0;0;17;1;0;0;"Tower Hamlets"
625;47;1;22;92;2;0;0;0;28;0;1;0;"Barking and Dagenham"
626;35;4;10;61;3;0;0;0;21;0;1;0;"Waltham Forest"
627;46;3;19;38;2;135;0;0;25;0;0;0;"Islington"
628;62;4;37;58;1;0;0;0;17;0;1;0;"Kensington and Chelsea"
629;26;1;1;80;2;150;0;0;8;0;0;0;"Merton"
630;38;4;8;71;3;0;0;0;18;0;1;0;"Newham"
631;43;3;18;89;3;0;0;0;5;1;1;0;"Bexley"
632;62;1;38;83;3;0;0;0;18;0;1;0;"Sutton"
633;57;3;32;28;1;0;0;0;2;1;1;0;"Lewisham"
634;28;4;3;52;2;0;0;0;17;0;0;0;"Redbridge"
635;51;1;26;70;1;169;0;0;12;0;0;0;"Camden"
636;48;1;22;71;3;0;0;0;14;1;0;0;"Richmond upon Thames"
637;41;1;16;75;3;280;0;0;37;0;0;0;"Sutton"
638;65;3;39;170;3;99;0;1;79;0;1;1;"Barking and Dagenham"
639;41;4;17;78;1;78;0;0;8;0;1;0;"Merton"
640;35;2;11;25;2;0;0;0;10;0;0;0;"Islington"
641;38;2;14;60;3;0;0;0;6;1;1;0;"Tower Hamlets"
642;53;4;29;120;2;111;1;1;27;0;1;1;"Camden"
643;55;2;29;99;1;264;0;0;14;1;1;0;"Hillingdon"
644;26;3;1;55;3;113;0;0;26;1;0;0;"Camden"
645;30;3;6;29;2;117;0;0;10;0;0;0;"Haringey"
646;54;2;28;170;2;325;0;0;62;0;1;1;"Lewisham"
647;65;3;40;53;1;0;0;0;22;1;0;0;"Tower Hamlets"
649;65;3;41;134;3;121;0;0;39;0;1;1;"Merton"
650;66;2;40;42;3;138;0;0;7;1;0;0;"Croydon"
651;26;4;0;99;3;0;0;0;23;1;0;0;"Barking and Dagenham"
652;66;3;41;18;1;0;0;0;5;1;0;0;"Islington"
653;35;4;9;24;1;0;0;0;3;0;1;0;"Bexley"
654;56;1;30;55;1;77;0;0;14;0;1;0;"Hackney"
655;51;1;27;58;1;0;0;0;0;1;0;0;"Harrow"
656;42;2;16;111;3;251;0;0;12;0;1;1;"Redbridge"
657;49;1;23;33;3;0;0;1;3;1;1;0;"Lewisham"
658;27;4;1;74;2;112;0;0;18;1;1;0;"Richmond upon Thames"
659;45;2;19;38;1;0;0;0;7;0;0;0;"Bexley"
660;49;4;23;23;3;98;1;0;6;0;0;0;"Enfield"
661;63;2;38;61;1;0;0;0;15;0;1;0;"Lewisham"
662;47;1;22;81;1;138;0;0;29;0;0;0;"Barnet"
663;64;1;39;129;1;0;0;0;25;0;1;0;"Kingston upon Thames"
664;43;1;13;33;3;0;0;0;7,5;0;0;0;"Camden"
665;60;4;36;63;1;0;0;0;22;0;1;0;"Hammersmith and Fulham"
666;40;4;14;70;2;0;0;0;14;0;1;0;"Camden"
667;29;4;3;45;1;158;0;0;2;1;1;0;"Bexley"
668;41;3;16;65;3;0;0;0;5;0;1;0;"Barking and Dagenham"
669;30;4;5;74;1;0;1;0;22;1;0;0;"Hackney"
670;49;4;24;50;3;0;1;0;18;0;0;0;"Bexley"
671;30;4;5;22;3;109;0;0;5;0;1;0;"Sutton"
672;29;4;2;30;3;0;0;0;10;0;0;0;"Lewisham"
673;50;4;26;21;1;0;0;0;10;0;1;0;"Barking and Dagenham"
674;39;2;14;155;1;0;0;0;39;0;1;0;"Barking and Dagenham"
675;33;4;8;64;3;164;0;0;21;0;1;0;"Hillingdon"
676;57;4;31;65;3;0;0;0;26;1;0;0;"Waltham Forest"
677;34;4;9;71;3;0;0;0;7;0;1;0;"Brent"
678;61;3;36;40;2;0;1;0;5;0;1;0;"Tower Hamlets"
679;44;3;19;69;3;0;0;0;5;0;1;0;"Kensington and Chelsea"
680;40;3;13;69;2;0;0;0;23,3;0;0;0;"Havering"
681;51;3;25;45;2;131;0;0;6;0;1;0;"Newham"
682;37;3;12;62;2;0;0;0;7;1;0;0;"Merton"
683;44;2;19;172;3;391;1;1;43;0;1;1;"Redbridge"
684;42;3;15;24;2;0;0;0;10;1;1;0;"Camden"
685;51;1;25;80;1;0;0;0;49;0;0;0;"Brent"
686;43;3;16;8;2;88;0;0;6,7;0;1;0;"Newham"
687;30;4;5;38;1;129;0;0;8;1;1;0;"Kensington and Chelsea"
688;45;4;19;93;3;0;0;0;26;0;0;0;"Tower Hamlets"
