"id_gym";"type_gym";"name"
1;"Other types";"Kensington and Chelsea"
17160;"Fitness Centers";"Barking and Dagenham"
8813;"Fitness Centers";"Hillingdon"
20716;"Health Clubs";"Haringey"
4281;"Smaller Gym";"Barking and Dagenham"
11534;"Health Clubs";"NULL"
7315;"Fitness Centers";"Lambeth"
15201;"Other types";"Barking and Dagenham"
286;"Other types";"Newham"
10243;"Fitness Centers";"Barking and Dagenham"
14903;"Other types";"Westminster"
19007;"Gym with Swimming Pool";"Tower Hamlets"
8279;"Martial Arts Gym";"Barking and Dagenham"
2111;"Social Gym";"Hackney"
7085;"Martial Arts Gym";"Hackney"
11775;"Martial Arts Gym";"Hillingdon"
15989;"Social Gym";"Hackney"
16276;"Gym with Swimming Pool";"Islington"
16038;"Martial Arts Gym";"Tower Hamlets"
15000;"Martial Arts Gym";"Hackney"
15614;"Social Gym";"Merton"
23473;"Other types";"Richmond upon Thames"
19356;"Outdoors Installations Gym";"Brent"
23447;"Health Clubs";"Richmond upon Thames"
13898;"Martial Arts Gym";"Kensington and Chelsea"
21460;"Other types";"Barnet"
2172;"Martial Arts Gym";"Waltham Forest"
20503;"Other types";"Hounslow"
7802;"Martial Arts Gym";"Hillingdon"
15015;"Gym with Swimming Pool";"Hackney"
6435;"Health Clubs";"Bromley"
22914;"Fitness Centers";"Hackney"
16441;"Other types";"Bexley"
16398;"Health Clubs";"Brent"
6858;"Martial Arts Gym";"Enfield"
14210;"Outdoors Installations Gym";"Barking and Dagenham"
752;"Martial Arts Gym";"Merton"
11915;"Fitness Centers";"Kensington and Chelsea"
19503;"Other types";"Richmond upon Thames"
20951;"Martial Arts Gym";"Hackney"
15257;"Martial Arts Gym";"Southwark"
9286;"Health Clubs";"Lambeth"
17579;"Martial Arts Gym";"Kingston upon Thames"
18704;"Martial Arts Gym";"Hillingdon"
2148;"Gym with Swimming Pool";"Tower Hamlets"
5278;"Martial Arts Gym";"Barking and Dagenham"
1728;"Health Clubs";"Kingston upon Thames"
7573;"Martial Arts Gym";"NULL"
13895;"Other types";"Kensington and Chelsea"
