Barnet Copthall, Londres, Reino Unido
Boleyn Ground, Londres, Reino Unido
Brisbane Road, Londres, Reino Unido
Champion Hill, Londres, Reino Unido
Church Road (football stadium), Londres, Reino Unido
Craven Cottage, Londres, Reino Unido
The Den, Londres, Reino Unido
Earlsmead Stadium, Londres, Reino Unido
Emirates Stadium, Londres, Reino Unido
Gander Green Lane, Londres, Reino Unido
Griffin Park, Londres, Reino Unido
The Hive Stadium, Londres, Reino Unido
Hornchurch Stadium, Londres, Reino Unido
Kingsmeadow, Londres, Reino Unido
Loftus Road, Londres, Reino Unido
London Stadium, Londres, Reino Unido
Lynn Road, Londres, Reino Unido
Mile End Stadium, Londres, Reino Unido
New Queens Park, Londres, Reino Unido
Northumberland Development Project, Londres, Reino Unido
The Old Spotted Dog Ground, Londres, Reino Unido
Private Banks Sports Ground, Londres, Reino Unido
Selhurst Park, Londres, Reino Unido
Stamford Bridge (stadium), Londres, Reino Unido
Underhill Stadium, Londres, Reino Unido
The Valley (London), Londres, Reino Unido
Victoria Road, Dagenham, Londres, Reino Unido
Wembley Stadium, Londres, Reino Unido
Wembley Stadium (1923), Londres, Reino Unido
White Hart Lane, Londres, Reino Unido
White Hart Lane Community Sports Centre, Londres, Reino Unido
